time;averageAirTemp;averageWindchill;averageHeatindex;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageSeaLevelPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainAccumulation;rainIntensity;averagePm10
"2018-01-24 00:00:00+01:00";2.0397222222222;2.5879861111111;65.712638888889;-3.4879861111111;67.153402777778;998.05798611111;1023.8808333333;257;2.5;0.74784722222222;0;0;
"2018-01-25 00:00:00+01:00";3.5058333333333;4.1529166666667;59.694861111111;-2.6377777777778;65.528819444444;993.31569444444;1018.88;290;2.1;0.63805555555555;0;0;
"2018-01-26 00:00:00+01:00";1.2450694444444;1.9005555555556;69.012916666666;-3.7554861111111;69.815833333333;993.17381944445;1018.9477777778;272;1.8;0.64944444444444;0;0;
"2018-01-27 00:00:00+01:00";1.6611111111111;2.1683333333333;65.613333333333;-1.8913194444445;77.337291666667;1002.29375;1028.2565972222;237;2.3;0.78013888888889;0.03;0;
"2018-01-28 00:00:00+01:00";5.1070138888889;3.3736805555556;51.272430555556;0.41388888888889;72.197777777778;1000.1750694444;1025.7659722222;250;9.8;3.0363888888889;0.2;0;
"2018-01-29 00:00:00+01:00";8.5084027777778;5.6460416666667;41.245416666667;2.4809027777778;65.999930555556;993.70479166667;1018.8182638889;262;9.2;4.3431944444444;0;0;
"2018-01-30 00:00:00+01:00";5.5556944444444;2.2243055555556;49.003402777778;-2.9447222222222;54.699652777778;993.70930555556;1019.090625;273;12.7;4.7039583333333;0.8;0;
"2018-01-31 00:00:00+01:00";3.7780555555556;3.4554861111111;56.170347222222;-4.5335416666666;55.373125;989.87118055556;1015.3145833333;237;7.1;1.5941666666667;0;0;
"2018-02-01 00:00:00+01:00";5.4931944444445;5.9480555555556;50.563125;-0.81236111111111;64.719444444444;976.20597222222;1001.1394444444;234;4;0.81395833333333;2.49;0.1;
"2018-02-02 00:00:00+01:00";3.06125;3.1522916666667;59.474652777778;-1.1497222222222;74.04;979.74854166666;1004.9930555556;238;5.2;1.1645833333333;0;0;
"2018-02-03 00:00:00+01:00";0.52291666666667;1.0140277777778;71.603055555556;-3.5041666666667;74.651875;977.81173611111;1003.2425;244;2.9;0.80069444444444;0;0;
"2018-02-04 00:00:00+01:00";0.17041666666667;0.27625;73.168333333334;-4.1734722222222;72.880833333333;986.38229166667;1012.0765277778;320;4.4;1.1397222222222;0;0;
"2018-02-05 00:00:00+01:00";-1.7731944444444;-2.3418055555556;78.924444444444;-9.2643055555556;56.878541666667;996.74194444444;1022.8952777778;328;5.3;1.72875;0;0;
"2018-02-06 00:00:00+01:00";-4.2517361111111;-4.1549305555556;90.54;-12.257013888889;55.327916666667;993.79222222222;1020.119375;135;3.1;1.153125;0;0;
"2018-02-07 00:00:00+01:00";-2.1234027777778;-2.5305555555556;84.477222222223;-7.2515277777778;68.295763888889;988.63097222222;1014.5983333333;65;3.7;1.578125;0.01;0;
"2018-02-08 00:00:00+01:00";-0.66305555555556;-0.70270833333333;77.604583333333;-4.2995833333333;76.425625;988.55520833333;1014.380625;313;3.3;1.2641666666667;0;0;
"2018-02-09 00:00:00+01:00";-0.57548611111112;-0.62618055555556;77.241250000001;-5.3009027777778;70.539652777778;990.54805555555;1016.411875;302;3.6;1.2713194444444;0;0;
"2018-02-10 00:00:00+01:00";-0.68243055555555;-0.75381944444444;77.954305555556;-5.42625;70.365347222222;989.42659722222;1015.2727777778;65;3.2;1.2902777777778;0;0;
